"s","design_x","design_y","description"
,10,94,Crossable
,10,95,Crossable
,10,96,Crossable
,10,97,Crossable
,10,98,Crossable
,10,99,Crossable
,10,100,Crossable
,10,101,Crossable
,10,102,Crossable
,10,103,Crossable
,10,104,Shelf
,10,105,Shelf
,10,106,Shelf
,10,107,Wall
,10,108,Wall
,11,1,Wall
,11,2,Wall
,11,3,Crossable
,11,4,Crossable
,11,5,Crossable
,11,6,Crossable
,11,7,Crossable
,11,8,Crossable
,11,9,Crossable
,11,10,Crossable
,11,11,Crossable
,11,12,Crossable
,11,13,Crossable
,11,14,Crossable
,11,15,Crossable
,11,16,Crossable
,11,17,Crossable
1,11,18,Crossable
,11,19,Crossable
,11,20,Crossable
3,11,21,Crossable
,11,22,Crossable
,11,23,Crossable
,11,24,Crossable
,11,25,Crossable
,11,26,Crossable
,11,27,Crossable
,11,28,Crossable
,11,29,Crossable
,11,30,Crossable
,11,31,Crossable
,11,32,Crossable
,11,33,Crossable
,11,34,Crossable
,11,35,Crossable
,11,36,Crossable
,11,37,Crossable
,11,38,Crossable
,11,39,Crossable
,11,40,Crossable
,11,41,Crossable
,11,42,Crossable
,11,43,Crossable
,11,44,Crossable
,11,45,Crossable
,11,46,Crossable
,11,47,Crossable
,11,48,Crossable
,11,49,Crossable
,11,50,Crossable
,11,51,Crossable
,11,52,Crossable
,11,53,Crossable
1,11,54,Crossable
,11,55,Crossable
1,11,56,Crossable
,11,57,Crossable
,11,58,Crossable
,11,59,Crossable
5,11,60,Crossable
4,11,61,Crossable
9,11,62,Crossable
16,11,63,Crossable
31,11,64,Crossable
33,11,65,Crossable
55,11,66,Crossable
40,11,67,Crossable
47,11,68,Crossable
38,11,69,Crossable
14,11,70,Crossable
13,11,71,Crossable
6,11,72,Crossable
5,11,73,Crossable
3,11,74,Crossable
4,11,75,Crossable
3,11,76,Crossable
,11,77,Crossable
3,11,78,Crossable
,11,79,Crossable
,11,80,Crossable
3,11,81,Crossable
4,11,82,Crossable
7,11,83,Crossable
2,11,84,Crossable
4,11,85,Crossable
,11,86,Crossable
,11,87,Crossable
,11,88,Crossable
1,11,89,Crossable
,11,90,Crossable
,11,91,Crossable
,11,92,Crossable
3,11,93,Crossable
2,11,94,Crossable
,11,95,Crossable
1,11,96,Crossable
,11,97,Crossable
,11,98,Crossable
,11,99,Crossable
1,11,100,Crossable
,11,101,Crossable
,11,102,Crossable
,11,103,Crossable
,11,104,Shelf
,11,105,Shelf
,11,106,Shelf
,11,107,Wall
,11,108,Wall
,12,1,Wall
,12,2,Wall
,12,3,Crossable
,12,4,Crossable
,12,5,Crossable
,12,6,Crossable
,12,7,Crossable
,12,8,Crossable
,12,9,Crossable
,12,10,Crossable
,12,11,Crossable
,12,12,Crossable
,12,13,Crossable
,12,14,Crossable
,12,15,Crossable
,12,16,Crossable
,12,17,Crossable
,12,18,Crossable
1,12,19,Crossable
3,12,20,Crossable
,12,21,Crossable
,12,22,Crossable
,12,23,Crossable
,12,24,Crossable
,12,25,Crossable
,12,26,Crossable
,12,27,Crossable
1,12,28,Crossable
1,12,29,Crossable
,12,30,Crossable
,12,31,Crossable
,12,32,Crossable
,12,33,Crossable
,12,34,Crossable
,12,35,Crossable
,12,36,Crossable
,12,37,Crossable
,12,38,Crossable
,12,39,Crossable
,12,40,Crossable
,12,41,Crossable
,12,42,Crossable
,12,43,Crossable
,12,44,Crossable
,12,45,Crossable
,12,46,Crossable
,12,47,Crossable
,12,48,Crossable
,12,49,Crossable
,12,50,Crossable
1,12,51,Crossable
,12,52,Crossable
,12,53,Crossable
,12,54,Crossable
,12,55,Crossable
1,12,56,Crossable
,12,57,Crossable
1,12,58,Crossable
1,12,59,Crossable
4,12,60,Crossable
4,12,61,Crossable
1,12,62,Crossable
4,12,63,Crossable
2,12,64,Crossable
4,12,65,Crossable
6,12,66,Crossable
2,12,67,Crossable
3,12,68,Crossable
2,12,69,Crossable
4,12,70,Crossable
3,12,71,Crossable
3,12,72,Crossable
2,12,73,Crossable
3,12,74,Crossable
6,12,75,Crossable
3,12,76,Crossable
2,12,77,Crossable
2,12,78,Crossable
3,12,79,Crossable
1,12,80,Crossable
3,12,81,Crossable
1,12,82,Crossable
7,12,83,Crossable
2,12,84,Crossable
3,12,85,Crossable
,12,86,Crossable
,12,87,Crossable
1,12,88,Crossable
,12,89,Crossable
,12,90,Crossable
,12,91,Crossable
,12,92,Crossable
,12,93,Crossable
,12,94,Crossable
1,12,95,Crossable
,12,96,Crossable
,12,97,Crossable
,12,98,Crossable
1,12,99,Crossable
1,12,100,Crossable
,12,101,Crossable
,12,102,Crossable
,12,103,Crossable
,12,104,Shelf
,12,105,Shelf
,12,106,Shelf
,12,107,Wall
,12,108,Wall
,13,1,Wall
,13,2,Wall
,13,3,Crossable
,13,4,Crossable
,13,5,Crossable
,13,6,Crossable
,13,7,Crossable
,13,8,Crossable
,13,9,Crossable
,13,10,Crossable
,13,11,Crossable
,13,12,Crossable
,13,13,Crossable
,13,14,Crossable
,13,15,Crossable
,13,16,Crossable
,13,17,Crossable
,13,18,Crossable
,13,19,Crossable
5,13,20,Crossable
1,13,21,Crossable
5,13,22,Crossable
2,13,23,Crossable
,13,24,Crossable
1,13,25,Crossable
,13,26,Crossable
,13,27,Crossable
2,13,28,Crossable
,13,29,Crossable
,13,30,Crossable
,13,31,Crossable
,13,32,Crossable
,13,33,Crossable
,13,34,Crossable
,13,35,Crossable
,13,36,Crossable
,13,37,Crossable
,13,38,Crossable
,13,39,Crossable
,13,40,Crossable
,13,41,Crossable
,13,42,Crossable
,13,43,Crossable
,13,44,Crossable
,13,45,Crossable
,13,46,Crossable
,13,47,Crossable
,13,48,Crossable
,13,49,Crossable
,13,50,Crossable
,13,51,Crossable
1,13,52,Crossable
2,13,53,Crossable
1,13,54,Crossable
1,13,55,Crossable
,13,56,Wall
4,13,57,Wall
3,13,58,Crossable
1,13,59,Crossable
1,13,60,Crossable
3,13,61,Crossable
1,13,62,Crossable
,13,63,Crossable
2,13,64,Crossable
1,13,65,Crossable
2,13,66,Crossable
4,13,67,Crossable
3,13,68,Crossable
5,13,69,Crossable
,13,70,Crossable
1,13,71,Crossable
,13,72,Wall
2,13,73,Wall
2,13,74,Crossable
1,13,75,Crossable
2,13,76,Crossable
7,13,77,Crossable
3,13,78,Crossable
8,13,79,Crossable
5,13,80,Crossable
1,13,81,Crossable
5,13,82,Crossable
1,13,83,Crossable
2,13,84,Crossable
3,13,85,Crossable
,13,86,Crossable
1,13,87,Crossable
1,13,88,Crossable
3,13,89,Crossable
,13,90,Crossable
1,13,91,Crossable
4,13,92,Crossable
1,13,93,Crossable
5,13,94,Crossable
2,13,95,Crossable
1,13,96,Crossable
,13,97,Crossable
1,13,98,Crossable
,13,99,Crossable
,13,100,Crossable
,13,101,Crossable
,13,102,Crossable
,13,103,Crossable
,13,104,Shelf
,13,105,Shelf
,13,106,Shelf
,13,107,Wall
,13,108,Wall
,14,1,Wall
,14,2,Wall
